record_id,title,primary_category,document_type,source_name,published_date,published_year,rating_score,popularity,content_length,title_length,engagement_score,estimated_value
139,"Newsom Signs Executive Order Requiring AI Companies to Provide Safety, Privacy Guardrails",json,json,cnet,,,0.73,73.0,73,89,11.68,864.32
117,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
157,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
198,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
454,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
710,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
966,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
1222,Untitled record,word_run,word_run,unknown,,,0.7,70.0,70,15,11.2,795.2
437,SoftServe Launches New Brand Identity: ‘Technology Elevated’,json,json,globenewswire,,,0.67,67.0,67,60,10.72,728.96
52,Election Update,politics,excel,bbc,2026-03-20,2026.0,4.0,34.0,15,15,41.85,669.6
55,Climate Policy Shift,politics,excel,ap,2026-03-22,2026.0,3.0,23.0,20,20,31.35,658.35
116,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
156,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
197,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
453,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
709,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
965,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
1221,Untitled record,word_run,word_run,unknown,,,0.5,50.0,50,15,8.0,408.0
61,Inflation Briefing,business,excel,al jazeera,2026-03-25,2026.0,2.0,22.0,18,18,21.28,404.32
122,Untitled record,word_run,word_run,unknown,,,0.49,49.0,49,15,7.84,392.0
162,Untitled record,word_run,word_run,unknown,,,0.49,49.0,49,15,7.84,392.0
203,Untitled record,word_run,word_run,unknown,,,0.49,49.0,49,15,7.84,392.0
363,The Fantastic Flying Books of Mr. Morris Lessmore,scraped_json_api,scraped_json_api,unknown,,,0.49,49.0,49,49,7.84,392.0
459,Untitled record,word_run,word_run,unknown,,,0.49,49.0,49,15,7.84,392.0
